,Unnamed: 0,Review Content,cleanedReviews,sentiment_scores,sentiment_category,is_bad_review,nb_chars,nb_words
1489,1489,"  Very Fast Delivery.Hats off to guys.Great Product.Sounds Quality is too good.love it.

",fast delivery.hats guys.great product.sounds quality good.love it.,0.2,positive,0,66,7
1490,1490,"  Good

",good,0.7,positive,0,4,1
1491,1491,"  Best in business!!Reviewing after an year.This is the best product  withing Rs.3000

",best business!!reviewing year.this best product withing,1.0,positive,0,55,6
1492,1492,"  Remote control damage।  Not good sound

",remote control damage। good sound,0.333,positive,0,33,5
1493,1493,"  Ok

",ok,0.5,positive,0,2,1
1494,1494,"  Excellent prdct

",excellent prdct,1.0,positive,0,15,2
1495,1495,"  Good

",good,0.7,positive,0,4,1
1496,1496,"  Super sound quality super item

",super sound quality super item,0.356,positive,0,30,5
1497,1497,"  Nice

",nice,0.6,positive,0,4,1
1498,1498,"  Wroth for money

",wroth money,0.0,neutral,0,11,2
1499,1499,"  Worst product..

",bad product..,-0.7,negative,1,13,2
1500,1500,"  Awesome

",awesome,1.0,positive,0,7,1
1501,1501,"  Worst ......

",bad,-0.7,negative,1,3,1
1502,1502,"  Great product

",great product,0.8,positive,0,13,2
1503,1503,"  Nice enjoy music

",nice enjoy music,0.5,positive,0,16,3
1504,1504,"  Bass is not like Dolby sound, but sound b quality is clear, good b for home, but FM does not have auto scan option,

","bass like dolby sound sound quality clear good home fm auto scan option,",0.29,positive,0,72,13
1505,1505,"  After 20days delivery, it's not working, it's my wrost experience :-(

",delivery work wrost experience,0.0,neutral,0,30,4
1506,1506,"  This prodect is not working now please send some tecnician to repair this home theater it's under warrantee

",prodect work please send tecnician repair home theater warrantee,0.0,neutral,0,64,9
1507,1507,"  Sound quality is great and connectivity and control are also superb

",sound quality great connectivity control also superb,0.733,positive,0,52,7
1508,1508,"  Everything is ok low price range me bahut accha product hai yr socho mat buy it 👍

",everything ok low price range bahut accha product hai yr socho mat buy 👍,0.25,positive,0,72,14
1509,1509,"  Not recommendable

",recommendable,0.0,neutral,0,13,1
1510,1510,"  WORST PRODUCTGOT FAULTY AFTER 1 DAY OF USENO SERVICE CENTER AT NOIDANO ONSITE VISIT

",bad productgot faulty day useno service center noidano onsite visit,-0.4,negative,1,67,10
1511,1511,"  This is very good productSounds is most powerful

",good productsounds powerful,0.5,positive,0,27,3
1512,1512,"  Bast product

",bast product,0.0,neutral,0,12,2
1513,1513,"  Best speaker , NICE SOUND , GOOD BT , FM IS ALSO GOOD , AUX IS ALSO OF A GOOD QUALITY AND LONG AS I EXPECTED

",best nice sound good bt fm also good aux also good quality long expected,0.494,positive,0,72,14
1514,1514,"  Value for money

",value money,0.0,neutral,0,11,2
1515,1515,"  Super sound ...but bass efct normal also ok gud

",super sound bass efct normal also ok gud,0.247,positive,0,40,8
1516,1516,"  Bass is not coming , I don’t want this product replace with new product

",bass come don’t want product replace new product,-0.007,negative,1,48,8
1517,1517,"  U will never dissatisfied with this product...u can go with it without any 2nd thoughts😎

",never dissatisfy product...u go without thoughts😎,0.0,neutral,0,49,6
1518,1518,"  I bought 2 days back .BT was not working .all are good but only bt was not working.sound quality,bass  nice

","buy day back bt work good bt working.sound quality,bass nice",0.433,positive,0,60,10
1519,1519,"  Semmaya irukku

",semmaya irukku,0.0,neutral,0,14,2
1520,1520,"  Overall it's good. Nice sound. One thing is missing that is separate controler of bass. Otherwise it's a value for money.

",overall good nice sound one thing miss separate controler bass otherwise value money.,0.31,positive,0,85,13
1521,1521,"  Not up to the mark. Price is high compared to its performance...Better don't go for this product.

",mark price high compare performance...better go product.,0.16,positive,0,56,7
1522,1522,"  Nuce BaseGood cinnectivity, lenght of wire not expected.Bluetooth is good

",nuce basegood cinnectivity lenght wire expected.bluetooth good,0.7,positive,0,62,7
1523,1523,"  best speaker

",best,1.0,positive,0,4,1
1524,1524,"  Satisfied with the product

",satisfied product,0.5,positive,0,17,2
1525,1525,"  It's amazing tq amazon

",amaze tq,0.0,neutral,0,8,2
1526,1526,"  Bluetooth  not working

",bluetooth working,0.0,neutral,0,17,2
1527,1527,"  Product is very nice, must buy it superb 👍👍👍

",product nice must buy superb 👍👍👍,0.8,positive,0,32,6
1528,1528,"  nice

",nice,0.6,positive,0,4,1
1529,1529,"  A very good sound system by zebronics in this budget.

",good sound system zebronics budget.,0.55,positive,0,35,5
1530,1530,"  Sound quality is not good .

",sound quality good,0.55,positive,0,18,3
1531,1531,"  Very Nice Bluetooth Speaker in smart price. Enough sound in 500sqft room.

",nice bluetooth smart price enough sound room.,0.304,positive,0,45,7
1532,1532,"  Not upto the mark of sound.....acts as a normal sound....I don't advise to buy anyone...go for higher

",upto mark sound.....acts normal sound....i advise buy anyone...go higher,0.2,positive,0,72,9
1533,1533,"  Great product  at good  price.

",great product good price.,0.75,positive,0,25,4
1534,1534,"  Good quality and good sound

",good quality good sound,0.6,positive,0,23,4
1535,1535,"  Very Impressive Sound Quality

",impressive sound quality,0.7,positive,0,24,3
1536,1536,"  Spr but at same time 4 sound box not worked for contacting to TV

",spr time sound box work contact tv,0.4,positive,0,34,7
1537,1537,"  Best in the range

",best range,1.0,positive,0,10,2
1538,1538,"  Very worst. Never buy from this seller

",worst never buy seller,-1.0,negative,1,22,4
1539,1539,"  Volume buttons are very poor on music system

",volume button poor music system,-0.4,negative,1,31,5
1540,1540,"  Sound is good

",sound good,0.55,positive,0,10,2
1541,1541,"  average

",average,-0.15,negative,1,7,1
1542,1542,"  Sound quality is good

",sound quality good,0.55,positive,0,18,3
1543,1543,"  This is good but volume is low at bluetooth connectivity

",good volume low bluetooth connectivity,0.35,positive,0,38,5
1544,1544,"  Nice productNice bass and sound quality👍Thumbs up

",nice productnice bass sound quality👍thumbs up,0.283,positive,0,45,6
1545,1545,"  Nice product for midium room

",nice product midium room,0.6,positive,0,24,4
1546,1546,"  I received damaged remote control. Please replace.

",receive damaged remote control please replace.,-0.1,negative,1,46,6
1547,1547,"  Good.but not very good.

",good.but good.,0.7,positive,0,14,2
1548,1548,"  Superb sound and bass

",superb sound bass,0.417,positive,0,17,3
1549,1549,"  Ekdam zakkas

",ekdam zakkas,0.0,neutral,0,12,2
1550,1550,"  Nice

",nice,0.6,positive,0,4,1
1551,1551,"  Very good sound

",good sound,0.55,positive,0,10,2
1552,1552,"  It's sound isn't that much good as i expected but what else i can expect in this price.

",sound much good expect else expect price.,0.55,positive,0,41,7
1553,1553,"  Thanks Amazon , sound quality good, bass awesome total  it's value for money ...I got all part good condition

",thanks sound quality good bass awesome total value money get part good condition,0.407,positive,0,80,13
1554,1554,"  Really Very Good Woofer And Awesome Sound Quality...!!!

",really good woofer awesome sound quality...!!!,0.827,positive,0,46,6
1555,1555,"  Nice sounds is very very good

",nice sound good,0.567,positive,0,15,3
1556,1556,"  good one in low budget

",good one low budget,0.35,positive,0,19,4
1557,1557,"  Nice product...

",nice product...,0.6,positive,0,15,2
1558,1558,"  This product not working 😡

",product work 😡,0.0,neutral,0,14,3
1559,1559,"  It is not a wireless

",wireless,0.0,neutral,0,8,1
1560,1560,"  Worst sou d quality and 3rd class bass system, never buy this sound system

",bad sou quality class bass system never buy sound system,-0.15,negative,1,56,10
1561,1561,"  Sound quality is good for very small house. Bluetooth connectivity is good.

",sound quality good small house bluetooth connectivity good.,0.388,positive,0,59,8
1562,1562,"  Super Product....Good Service from Seller

",super product....good service seller,0.333,positive,0,36,4
1563,1563,"  Happy

",happy,0.8,positive,0,5,1
1564,1564,"  Good

",good,0.7,positive,0,4,1
1565,1565,"  Excellent

",excellent,1.0,positive,0,9,1
1566,1566,"  Value for price. ..

",value price,0.0,neutral,0,11,2
1567,1567,"  Deserves more volume from this product..but awesome at it's price..

",deserves volume product..but awesome price..,1.0,positive,0,44,5
1568,1568,"  Nice product

",nice product,0.6,positive,0,12,2
1569,1569,"  Q we tu i

",tu i,0.0,neutral,0,4,2
1570,1570,"  Go for this it is worth buying it...I got it today...

",go worth buying it...i get today...,0.3,positive,0,35,6
1571,1571,"  Osm product....suprb bass no need to adjust.....loved it alot.... budget speakers 😉😁

",osm product....suprb bass need adjust.....loved alot budget 😉😁,-0.15,negative,1,62,8
1572,1572,"  super hit product! best home thear.

",super hit product best home thear.,0.667,positive,0,34,6
1573,1573,"  Simply awesome product. Nice deal totally I'm very much impressed kudooss ;)

",simply awesome product nice deal totally i'm much impressed kudooss,0.867,positive,0,67,10
1574,1574,"  Good product, nice sounds but bass is not so much good,high bass lovers can go for another product,overall fair product

","good product nice sound bass much good,high bass lover go another product,overall fair product",0.329,positive,0,94,14
1575,1575,"  Sound quality good..blue tooth works well..

",sound quality good..blue tooth work well..,0.4,positive,0,42,6
1576,1576,"  I Got Good Product.

",get good product.,0.7,positive,0,17,3
1577,1577,"  This is a mind blowing home theater in this price segment this is really a sound monitor sound 5/5. Bass 4/5.

",mind blow home theater price segment really sound monitor sound bass,0.217,positive,0,68,11
1578,1578,"  So nice & good quilety

",nice good quilety,0.65,positive,0,17,3
1579,1579,"  Every thing is very good except radio chaneel its very difficult to change d chanel ..

",every thing good except radio chaneel difficult change chanel,0.1,positive,0,61,9
1580,1580,"  Best products....Do take this bt using only 2speaker it's volumes doesn't come low

",best products....do take bt use volume come low,0.5,positive,0,47,8
1581,1581,"  Good

",good,0.7,positive,0,4,1
1582,1582,"  I like very much. Very good product

",like much good product,0.7,positive,0,22,4
1583,1583,"  Worst product its not turning on at all after 15 days

",bad product turn days,-0.7,negative,1,21,4
1584,1584,"  Sound quality was bad.

",sound quality bad.,-0.15,negative,1,18,3
1585,1585,"  The box itself not giving proper bass and making noise. Getting heat.

",box give proper bass making noise get heat.,-0.075,negative,1,43,8
1586,1586,"  Good ,,, but color this not received (black),, Sound ok, Bass ok , , fm not working properly.

",good color receive black sound ok bass ok fm work properly.,0.255,positive,0,59,11
1587,1587,"  Weast of money

",weast money,0.0,neutral,0,11,2
1588,1588,"  Product at such range offers very good sound quality

",product range offer good sound quality,0.55,positive,0,38,6
1589,1589,"  Nice product worth!

",nice product worth!,0.487,positive,0,19,3
1590,1590,"  One small speaker not working it's not good

",one small work good,0.225,positive,0,19,4
1591,1591,"  One of the best product of Zebronic. At this price best quality of sound real filling of home theater.

",one best product zebronic price best quality sound real filling home theater.,0.65,positive,0,77,12
1592,1592,"  Super I purchase 3 set until.. for my relatives

",super purchase set relatives,0.333,positive,0,28,4
1593,1593,"  Classic product at this price , got delivery 3 days before, super sound quality, best features good Bluetooth range.

",classic product price get delivery day super sound quality best feature good bluetooth range.,0.52,positive,0,93,14
1594,1594,"  Good sound quality

",good sound quality,0.55,positive,0,18,3
1595,1595,"  Ok Thik he

",ok thik he,0.5,positive,0,10,3
1596,1596,"  What a product

",product,0.0,neutral,0,7,1
1597,1597,"  Everything is good

",everything good,0.7,positive,0,15,2
1598,1598,"  I like the product..

",like product..,0.0,neutral,0,14,2
1599,1599,"  Excellent sound

",excellent sound,0.7,positive,0,15,2
1600,1600,"  LED display is gone in 4 days.

",lead display go days.,0.0,neutral,0,21,4
1601,1601,"  Nice Product Totally Worth buying.. awesome audio Clarity & Looking wise 5 start Rating. :)

",nice product totally worth buying awesome audio clarity look wise start rating,0.65,positive,0,78,12
1602,1602,"  Good quality

",good quality,0.7,positive,0,12,2
1603,1603,"  good

",good,0.7,positive,0,4,1
1604,1604,"  Dont buy this product

",dont buy product,0.0,neutral,0,16,3
1605,1605,"  Really good product at this range

",really good product range,0.7,positive,0,25,4
1606,1606,"  Nice product

",nice product,0.6,positive,0,12,2
1607,1607,"  Nice product, sound quality good , Bluetooth range good but in this woofer bass low and high system not given

",nice product sound quality good bluetooth range good woofer bass low high system given,0.344,positive,0,86,14
1608,1608,"  Great performance. I am happy to have bought it

",great performance happy buy it,0.8,positive,0,30,5
1609,1609,"  Vera level

",vera level,0.0,neutral,0,10,2
1610,1610,"  Super sound quality and volume control.

",super sound quality volume control.,0.367,positive,0,35,5
1611,1611,"  Good

",good,0.7,positive,0,4,1
1612,1612,"  Very good product...Good sound...

",good product...good sound...,0.55,positive,0,28,3
1613,1613,"  Got this product.. Best sound.. Bt I observed that getting Heat after 5-10 mins. Please resolve this issue or replace this item.

",get product best sound bt observe get heat min please resolve issue replace item.,0.7,positive,0,81,14
1614,1614,"  After 7 Month Using...Working Good Bass&BT Connectivity...Really Awesome 🔥❤😘

",month using...working good bass&bt connectivity...really awesome 🔥❤😘,0.85,positive,0,68,7
1615,1615,"  Best product with quality

",best product quality,1.0,positive,0,20,3
1616,1616,"  just wow

",wow,0.1,positive,0,3,1
1617,1617,"  Excellent bass !!!

",excellent bass,0.425,positive,0,14,2
1618,1618,"  Remote is not working.

",remote working.,-0.1,negative,1,15,2
1619,1619,"  Display not working

",display working,0.0,neutral,0,15,2
1620,1620,"  Super product. Thanks Amazon..

",super product thanks amazon..,0.267,positive,0,29,4
1621,1621,"  It is completely worth it's price.The bass is good and speakers have good sound. WORTH THE BUY.

",completely worth price.the bass good good sound worth buy.,0.375,positive,0,58,9
1622,1622,"  Not good very low sound you cannot use it for dance in a small room also

",good low sound cannot use dance small room also,0.213,positive,0,47,9
1623,1623,"  Great product in the price range

",great product price range,0.8,positive,0,25,4
1624,1624,"  Overall satisfying with product

",overall satisfying product,0.25,positive,0,26,3
1625,1625,"  It is funstastic sound system full paisa wasool. Full hd sound

",funstastic sound system full paisa wasool full hd sound,0.375,positive,0,55,9
1626,1626,"  Got defective product

",get defective product,0.0,neutral,0,21,3
1627,1627,"  Excellent

",excellent,1.0,positive,0,9,1
1628,1628,"  Not up to mark

",mark,0.0,neutral,0,4,1
1629,1629,"  Satisfied

",satisfied,0.5,positive,0,9,1
1630,1630,"  Its good. There is no bass control...

",good bass control...,0.275,positive,0,20,3
1631,1631,"  This product don't justify it's cost. Sound quality is very poor and no bass. Don't buy this product.

",product justify cost sound quality poor bass buy product.,-0.05,negative,1,57,9
1632,1632,"  Good

",good,0.7,positive,0,4,1
1633,1633,"  Defective item received.

",defective item received.,0.0,neutral,0,24,3
1634,1634,"  Superb

",superb,1.0,positive,0,6,1
1635,1635,"  Amazing. It is very good product. Sound quality is very good

",amaze good product sound quality good,0.6,positive,0,37,6
1636,1636,"  Good

",good,0.7,positive,0,4,1
1637,1637,"  Good products

",good products,0.7,positive,0,13,2
1638,1638,"  This product is not good.... after open the pack Temote is fully damaged

",product good open pack temote fully damaged,0.35,positive,0,43,7
1639,1639,"  Been an year using it. No complaints.

",year use complaints.,0.0,neutral,0,20,3
1640,1640,"  The only problem i experienced is low bass

",problem experience low bass,-0.075,negative,1,27,4
1641,1641,"  Usb port not warking

",usb port warking,0.0,neutral,0,16,3
1642,1642,"  Product was very but this product i received defective

",product product receive defective,0.0,neutral,0,33,4
1643,1643,"  Its diplay is not working

",diplay working,0.0,neutral,0,14,2
1644,1644,"  Good product worth for money...

",good product worth money...,0.5,positive,0,27,4
1645,1645,"  Awesome

",awesome,1.0,positive,0,7,1
1646,1646,"  Superb in this price. Available at costly prices on some websites, please order carefully.

",superb price available costly price websites please order carefully.,0.433,positive,0,68,9
1647,1647,"  Ok

",ok,0.5,positive,0,2,1
1648,1648,"  This is a very bluetooth home theater and it's bass is really awesome,it is really worth praising

","bluetooth home theater bass really awesome,it really worth praising",0.117,positive,0,67,9
1649,1649,"  Good sound system

",good sound system,0.55,positive,0,17,3
1650,1650,"  Awesome sound for such a low price.

",awesome sound low price.,0.467,positive,0,24,4
1651,1651,"  Super

",super,0.333,positive,0,5,1
1652,1652,"  Worth for money.

",worth money.,0.3,positive,0,12,2
1653,1653,"  Only 15 day working after that his bass stop woreist product

",day work bass stop woreist product,-0.15,negative,1,34,6
1654,1654,"  घटिया प्रोडक्ट।।।।ढंग से एक साल भी नही चला।।।i hate zebronics😱😱😰😰😰

",घटिया प्रोडक्ट।।।।ढंग से एक साल भी नही चला।।।i hate zebronics😱😱😰😰😰,-0.8,negative,1,66,10
1655,1655,"  Superb awesome.

",superb awesome.,1.0,positive,0,15,2
1656,1656,"  Nice products this rate

",nice product rate,0.6,positive,0,17,3
1657,1657,"  very worst quality

",bad quality,-0.7,negative,1,11,2
1658,1658,"  Sound qualit nad volume control is good.

",sound qualit nad volume control good.,0.55,positive,0,37,6
1659,1659,"  I am only use this product two month but product is dead don't buy this item...

",use product two month product dead buy item...,-0.2,negative,1,46,8
1660,1660,"  Good product

",good product,0.7,positive,0,12,2
1661,1661,"  Worst product, 1 month bhi complete nhi hua ki uska woofer khrab ho gya

",worst product month bhi complete nhi hua ki uska woofer khrab ho gya,-0.45,negative,1,68,13
1662,1662,"  Best

",best,1.0,positive,0,4,1
1663,1663,"  Mindblowing Speakers

",mindblowing speakers,0.0,neutral,0,20,2
1664,1664,"  Good but too small surround speakers

",good small surround speakers,0.225,positive,0,28,4
1665,1665,"  Worst product

",bad product,-0.7,negative,1,11,2
1666,1666,"  Good product

",good product,0.7,positive,0,12,2
1667,1667,"  Awesome speakers and sound. The only thing I wish it could have been a true Bluetooth device without wires

",awesome sound thing wish could true bluetooth device without wires,0.583,positive,0,66,10
1668,1668,"  The price and the product quality is good. Got this product during the Big Amazon sale. The sound is good too. Can't go wrong .

",price product quality good get product big sale sound good can't go wrong,0.26,positive,0,73,13
1669,1669,"  Value for money

",value money,0.0,neutral,0,11,2
1670,1670,"  Using it from past 6 months, working fine no issues. I loved it. The sound clarity is good in all mode.

",use past month work fine issue love sound clarity good mode.,0.353,positive,0,60,11
1671,1671,"  nice

",nice,0.6,positive,0,4,1
1672,1672,"  Okay

",okay,0.5,positive,0,4,1
1673,1673,"  Only damage problem,  otherwise best in quality

",damage problem otherwise best quality,1.0,positive,0,37,5
1674,1674,"  Good sound good bess good look

",good sound good be good look,0.625,positive,0,28,6
1675,1675,"  Nice under 3000

",nice,0.6,positive,0,4,1
1676,1676,"  Sound quality is good

",sound quality good,0.55,positive,0,18,3
1677,1677,"  Ok nice

",ok nice,0.55,positive,0,7,2
1678,1678,"  good product

",good product,0.7,positive,0,12,2
1679,1679,"  Worth the money spent....good looks and sound quality is also ok...

",worth money spent....good look sound quality also ok...,0.4,positive,0,55,8
1680,1680,"  The equalisers don't work. So I can't really tweak my music.Otherwise it's pretty decent.

",equaliser work can't really tweak music.otherwise pretty decent.,0.206,positive,0,64,8
1681,1681,"  Usb port, SD card not supported

",usb port sd card supported,0.0,neutral,0,26,5
1682,1682,"  Overall good product nice in its price segment.

",overall good product nice price segment.,0.433,positive,0,40,6
1683,1683,"  Radio is not working at all

",radio work all,0.0,neutral,0,14,3
1684,1684,"  Very good quality and useful product

",good quality useful product,0.5,positive,0,27,4
1685,1685,"  Very nice product with good sound quality

",nice product good sound quality,0.567,positive,0,31,5
1686,1686,"  Base woofer is not good, not that much audible

",base woofer good much audible,0.033,positive,0,29,5
1687,1687,"  Sounds and bass is not so loud but ok at the price range ! Don't expect a hell lot of sound...!

",sound bass loud ok price range expect hell lot sound...!,0.27,positive,0,56,10
1688,1688,"  Volum or bass button are atteched

",volum bass button atteched,-0.15,negative,1,26,4
1689,1689,"  My home theatre woofer Failed, don't buy

",home theatre woofer fail buy,-0.5,negative,1,28,5
1690,1690,"  Remote not working

",remote working,-0.1,negative,1,14,2
1691,1691,"  Verry good product at this price range.awsome purchase

",verry good product price range.awsome purchase,0.7,positive,0,46,6
1692,1692,"  Awesome bass and sound. In this price nothing can better thanthis..

",awesome bass sound price nothing well thanthis..,0.417,positive,0,48,7
1693,1693,"  Don't buy woofer worst blue tooth connectivity also

",buy woofer bad blue tooth connectivity also,-0.35,negative,1,43,7
1694,1694,"  Very nice product at this price

",nice product price,0.6,positive,0,18,3
1695,1695,"  Very bad product

",bad product,-0.7,negative,1,11,2
1696,1696,"  Sound quality is good but only problem is damaged remote received.

",sound quality good problem damage remote received.,0.333,positive,0,50,7
1697,1697,"  Makes noise on high volume.

",make noise high volume.,0.16,positive,0,23,4
1698,1698,"  Worthy

",worthy,0.333,positive,0,6,1
1699,1699,"  Awesome in this price

",awesome price,1.0,positive,0,13,2
1700,1700,"  I like the product using it for 2 months now

",like product use month now,0.0,neutral,0,26,5
1701,1701,"  Superb in low price

",superb low price,0.5,positive,0,16,3
1702,1702,"  Awesome product... thanks Amazon

",awesome product thanks,0.6,positive,0,22,3
1703,1703,"  Okay.

",okay.,0.5,positive,0,5,1
1704,1704,"  Super quality product.Super bass.Awesome sound.

",super quality product.super bass.awesome sound.,0.367,positive,0,47,5
1705,1705,"  Overall good

",overall good,0.35,positive,0,12,2
1706,1706,"  Product box and Sipping box is dammage, product's cabinet is broken, subwoofer and two speaker is not working.

",product box sip box dammage product's cabinet break subwoofer two working.,0.0,neutral,0,74,11
1707,1707,"  Happy

",happy,0.8,positive,0,5,1
1708,1708,"  Fabulous

",fabulous,0.4,positive,0,8,1
1709,1709,"  Just go for it....it is awesome....dont think twice...my frnd also wanted to buy this product....

",go it....it awesome....dont think twice...my frnd also want buy product....,0.0,neutral,0,75,10
1710,1710,"  Sound niceBass superbBluetooth niceBut i god product 2 days ago and today 1 satellite is not working ....

",sound nicebass superbbluetooth nicebut god product day ago today satellite work,0.4,positive,0,79,11
1711,1711,"  It's really good under his budget

",really good budget,0.7,positive,0,18,3
1712,1712,"  Not bad

",bad,-0.7,negative,1,3,1
1713,1713,"  Very low bass

",low bass,-0.075,negative,1,8,2
1714,1714,"  Super

",super,0.333,positive,0,5,1
1715,1715,"  Awesone

",awesone,0.0,neutral,0,7,1
1716,1716,"  Product is too good in this price range ,sound quality is crystal clear,bass is awesomeGo for it

","product good price range sound quality crystal clear,bass awesomego it",0.55,positive,0,70,10
1717,1717,"  Nice product

",nice product,0.6,positive,0,12,2
1718,1718,"  Remote doesn't work at all.

",remote work all.,-0.1,negative,1,16,3
1719,1719,"  Nice product at this price range with Bluetooth connectivity...

",nice product price range bluetooth connectivity...,0.6,positive,0,50,6
1720,1720,"  Bass is low but good

",bass low good,0.183,positive,0,13,3
1721,1721,"  Product is very nice

",product nice,0.6,positive,0,12,2
1722,1722,"  Great product , voice quality is loud n clear must but awesome product

",great product voice quality loud clear must awesome product,0.5,positive,0,59,9
1723,1723,"  Everything nice

",everything nice,0.6,positive,0,15,2
1724,1724,"  Worest product bass very poor

",worest product bass poor,-0.275,negative,1,24,4
1725,1725,"  Good product

",good product,0.7,positive,0,12,2
1726,1726,"  Not value for money

",value money,0.0,neutral,0,11,2
1727,1727,"  Best bilt qualityBest sound qualityValue of money

",best bilt qualitybest sound qualityvalue money,0.7,positive,0,46,6
1728,1728,"  Nice

",nice,0.6,positive,0,4,1
1729,1729,"  Liked

",liked,0.6,positive,0,5,1
1730,1730,"  Everything is ok but the controls are little typical. Sound quality is satisfactory design is also good.

",everything ok control little typical sound quality satisfactory design also good.,0.249,positive,0,81,11
1731,1731,"  Nice

",nice,0.6,positive,0,4,1
1732,1732,"  Excellent for home based Parties.Easy to use..Plays automatically never let you bore..

",excellent home base parties.easy use..plays automatically never let bore..,0.1,positive,0,74,9
1733,1733,"  Bass quality is very poor.

",bass quality poor.,-0.275,negative,1,18,3
1734,1734,"  Bluetooth system content distance just 3 miter

",bluetooth system content distance miter,0.0,neutral,0,39,5
1735,1735,"  Excellent sound, but a bit disappointed from inbuilt radio as the bass is not so effective in radio. Over all it's good. 👍

",excellent sound bit disappointed inbuilt radio bass effective radio good 👍,0.3,positive,0,74,11
1736,1736,"  good

",good,0.7,positive,0,4,1
1737,1737,"  Awesome....worth for money

",awesome....worth money,0.0,neutral,0,22,2
1738,1738,"  Works amazing

",work amazing,0.6,positive,0,12,2
1739,1739,"  Good product

",good product,0.7,positive,0,12,2
1740,1740,"  Nice product

",nice product,0.6,positive,0,12,2
1741,1741,"  Good quality

",good quality,0.7,positive,0,12,2
1742,1742,"  Good product

",good product,0.7,positive,0,12,2
1743,1743,"  Awesome nice

",awesome nice,0.8,positive,0,12,2
1744,1744,"  Good

",good,0.7,positive,0,4,1
1745,1745,"  Good

",good,0.7,positive,0,4,1
1746,1746,"  His is great but don't have bass control

",great bass control,0.325,positive,0,18,3
1747,1747,"  Fabulous... working fine with Mi tv 55

",fabulous work fine mi tv,0.408,positive,0,24,5
1748,1748,"  How can I use the bluetooth functionality?

",use bluetooth functionality?,0.0,neutral,0,28,3
1749,1749,"  Very Good product . Sound is excellent .. Thank you Amazon and zebronies.

",good product sound excellent thank zebronies.,0.7,positive,0,45,6
1750,1750,"  Best product.. sound is ok.. value for money....

",best product sound ok value money....,0.633,positive,0,37,6
1751,1751,"  Bluetooth connectivity no

",bluetooth connectivity no,0.0,neutral,0,25,3
1752,1752,"  Good quality in good price

",good quality good price,0.7,positive,0,23,4
1753,1753,"  Great budjet home theatre

",great budjet home theatre,0.8,positive,0,25,4
1754,1754,"  Nice product..go for ds one..But 1 thing the length of the  chord of the speakers are small

",nice product..go one..but thing length chord small,0.175,positive,0,50,7
1755,1755,"  ZEB-BT4440RUCF 4.1 Multimedia speakers ar awesome.. Sounds quality is excellent in this range.. Thanks AmazonAvijit Pan

",multimedia ar awesome sound quality excellent range thanks amazonavijit pan,0.65,positive,0,75,10
1756,1756,"  I receive damage product .. I'm not happy.. plzzz friend don't buy this product..

",receive damage product i'm happy plzzz friend buy product..,0.8,positive,0,59,9
1757,1757,"  Good.

",good.,0.7,positive,0,5,1
1758,1758,"  Nice...

",nice...,0.6,positive,0,7,1
1759,1759,"  Very good product

",good product,0.7,positive,0,12,2
1760,1760,"  Sound is perfect but radio are not working properly.

",sound perfect radio work properly.,0.467,positive,0,34,5
1761,1761,"  full volume can make you maddy you can control it very easily

",full volume make maddy control easily,0.392,positive,0,37,6
1762,1762,"  Everything perfect. I using last 2 year

",everything perfect use last year,0.5,positive,0,32,5
1763,1763,"  amazing quality of noise - pure value for money.Only requesting Amazon to speed up delivery. Had to cancel the same order and re-order.

",amaze quality noise pure value money.only request speed delivery cancel order re-order.,0.214,positive,0,87,12
1764,1764,"  Button b sare khrab hai fm is not working properly

",button sare khrab hai fm work properly,0.0,neutral,0,38,7
1765,1765,"  bed

",bed,0.0,neutral,0,3,1
1766,1766,"  bought at a price of 1999... good product in this price... good sound and glossy finish.. Happy with my purchase

",bought price good product price good sound glossy finish happy purchase,0.65,positive,0,71,11
1767,1767,"  Super bass wonderful

",super bass wonderful,0.394,positive,0,20,3
1768,1768,"  Over all it is good for at this price.Length of connecting wires of a 4 speakers is Very less..

",good price.length connect wire less..,0.267,positive,0,37,5
1769,1769,"  Zebronics bt4440RUCF Home theater easy to use best quality bass nyc sound and good quality home theater

",zebronics home theater easy use best quality bass nyc sound good quality home theater,0.477,positive,0,85,14
1770,1770,"  Good product

",good product,0.7,positive,0,12,2
1771,1771,"  Totally loved the product. Received before time and v easy to use. Output quality super. Looks gud. *****

",totally loved product receive time easy use output quality super look gud,0.489,positive,0,73,12
1772,1772,"  This piece of product is better than ok.

",piece product well ok.,0.5,positive,0,22,4
1773,1773,"  Awesome woofer

",awesome woofer,1.0,positive,0,14,2
1774,1774,"  Don't think about this home theater, this a good product. Go and buy it.

",think home theater good product go buy it.,0.7,positive,0,42,8
1775,1775,"  After 1year it's not working ... Only run 2min then it stops automatically.

",work run stop automatically.,0.0,neutral,0,28,4
1776,1776,"  Best product in the price range.....

",best product price range.....,1.0,positive,0,29,4
1777,1777,"  8month and everything is working perfectThank you

",everything work perfectthank you,0.0,neutral,0,32,4
1778,1778,"  Ok

",ok,0.5,positive,0,2,1
1779,1779,"  Awesome system for medium size flat

",awesome system medium size flat,0.487,positive,0,31,5
1780,1780,"  Good sound quality , fm works well very nice for office

",good sound quality fm work well nice office,0.567,positive,0,43,8
1781,1781,"  Excellent

",excellent,1.0,positive,0,9,1
1782,1782,"  It is very  good 4.1speaker and the bass is also very good I got it for 2,300and it is value for money

",good bass also good get value money,0.417,positive,0,35,7
